"team" "year1" "year1.wins" "year2" "year2.wins"
"ARI" 2014 64 2015 79
"ARI" 2013 81 2014 64
"ARI" 2012 81 2013 81
"ARI" 2011 94 2012 81
"ARI" 2010 65 2011 94
"ARI" 2009 70 2010 65
"ARI" 2008 82 2009 70
"ARI" 2007 90 2008 82
"ARI" 2006 76 2007 90
"ARI" 2005 77 2006 76
"ARI" 2004 51 2005 77
"ARI" 2003 84 2004 51
"ARI" 2002 98 2003 84
"ARI" 2001 92 2002 98
"ARI" 2000 85 2001 92
"ARI" 1999 100 2000 85
"ARI" 1998 65 1999 100
"ATL" 2014 79 2015 67
"ATL" 2013 96 2014 79
"ATL" 2012 94 2013 96
"ATL" 2011 89 2012 94
"ATL" 2010 91 2011 89
"ATL" 2009 86 2010 91
"ATL" 2008 72 2009 86
"ATL" 2007 84 2008 72
"ATL" 2006 79 2007 84
"ATL" 2005 90 2006 79
"ATL" 2004 96 2005 90
"ATL" 2003 101 2004 96
"ATL" 2002 101 2003 101
"ATL" 2001 88 2002 101
"ATL" 2000 95 2001 88
"ATL" 1999 103 2000 95
"ATL" 1998 106 1999 103
"BAL" 2014 96 2015 81
"BAL" 2013 85 2014 96
"BAL" 2012 93 2013 85
"BAL" 2011 69 2012 93
"BAL" 2010 66 2011 69
"BAL" 2009 64 2010 66
"BAL" 2008 68 2009 64
"BAL" 2007 69 2008 68
"BAL" 2006 70 2007 69
"BAL" 2005 74 2006 70
"BAL" 2004 78 2005 74
"BAL" 2003 71 2004 78
"BAL" 2002 67 2003 71
"BAL" 2001 63 2002 67
"BAL" 2000 74 2001 63
"BAL" 1999 78 2000 74
"BAL" 1998 79 1999 78
"BOS" 2014 71 2015 78
"BOS" 2013 97 2014 71
"BOS" 2012 69 2013 97
"BOS" 2011 90 2012 69
"BOS" 2010 89 2011 90
"BOS" 2009 95 2010 89
"BOS" 2008 95 2009 95
"BOS" 2007 96 2008 95
"BOS" 2006 86 2007 96
"BOS" 2005 95 2006 86
"BOS" 2004 98 2005 95
"BOS" 2003 95 2004 98
"BOS" 2002 93 2003 95
"BOS" 2001 82 2002 93
"BOS" 2000 85 2001 82
"BOS" 1999 94 2000 85
"BOS" 1998 92 1999 94
"CHC" 2014 73 2015 97
"CHC" 2013 66 2014 73
"CHC" 2012 61 2013 66
"CHC" 2011 71 2012 61
"CHC" 2010 75 2011 71
"CHC" 2009 83 2010 75
"CHC" 2008 97 2009 83
"CHC" 2007 85 2008 97
"CHC" 2006 66 2007 85
"CHC" 2005 79 2006 66
"CHC" 2004 89 2005 79
"CHC" 2003 88 2004 89
"CHC" 2002 67 2003 88
"CHC" 2001 88 2002 67
"CHC" 2000 65 2001 88
"CHC" 1999 67 2000 65
"CHC" 1998 90 1999 67
"CHW" 2014 73 2015 76
"CHW" 2013 63 2014 73
"CHW" 2012 85 2013 63
"CHW" 2011 79 2012 85
"CHW" 2010 88 2011 79
"CHW" 2009 79 2010 88
"CHW" 2008 89 2009 79
"CHW" 2007 72 2008 89
"CHW" 2006 90 2007 72
"CHW" 2005 99 2006 90
"CHW" 2004 83 2005 99
"CHW" 2003 86 2004 83
"CHW" 2002 81 2003 86
"CHW" 2001 83 2002 81
"CHW" 2000 95 2001 83
"CHW" 1999 75 2000 95
"CHW" 1998 80 1999 75
"CIN" 2014 76 2015 64
"CIN" 2013 90 2014 76
"CIN" 2012 97 2013 90
"CIN" 2011 79 2012 97
"CIN" 2010 91 2011 79
"CIN" 2009 78 2010 91
"CIN" 2008 74 2009 78
"CIN" 2007 72 2008 74
"CIN" 2006 80 2007 72
"CIN" 2005 73 2006 80
"CIN" 2004 76 2005 73
"CIN" 2003 69 2004 76
"CIN" 2002 78 2003 69
"CIN" 2001 66 2002 78
"CIN" 2000 85 2001 66
"CIN" 1999 96 2000 85
"CIN" 1998 77 1999 96
"CLE" 2014 85 2015 81
"CLE" 2013 92 2014 85
"CLE" 2012 68 2013 92
"CLE" 2011 80 2012 68
"CLE" 2010 69 2011 80
"CLE" 2009 65 2010 69
"CLE" 2008 81 2009 65
"CLE" 2007 96 2008 81
"CLE" 2006 78 2007 96
"CLE" 2005 93 2006 78
"CLE" 2004 80 2005 93
"CLE" 2003 68 2004 80
"CLE" 2002 74 2003 68
"CLE" 2001 91 2002 74
"CLE" 2000 90 2001 91
"CLE" 1999 97 2000 90
"CLE" 1998 89 1999 97
"COL" 2014 66 2015 68
"COL" 2013 74 2014 66
"COL" 2012 64 2013 74
"COL" 2011 73 2012 64
"COL" 2010 83 2011 73
"COL" 2009 92 2010 83
"COL" 2008 74 2009 92
"COL" 2007 90 2008 74
"COL" 2006 76 2007 90
"COL" 2005 67 2006 76
"COL" 2004 68 2005 67
"COL" 2003 74 2004 68
"COL" 2002 73 2003 74
"COL" 2001 73 2002 73
"COL" 2000 82 2001 73
"COL" 1999 72 2000 82
"COL" 1998 77 1999 72
"DET" 2014 90 2015 74
"DET" 2013 93 2014 90
"DET" 2012 88 2013 93
"DET" 2011 95 2012 88
"DET" 2010 81 2011 95
"DET" 2009 86 2010 81
"DET" 2008 74 2009 86
