National League,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500
St. Louis,100,62,0.617,-,-,4-6,L3,647,525,122,96-66,55-26,45-36,46-31
Pittsburgh,98,64,0.605,2,1,6-4,W1,697,596,101,92-70,53-28,45-36,42-32
Chi Cubs,97,65,0.599,3,-,8-2,W8,689,608,81,90-72,49-32,48-33,44-32
LA Dodgers,92,70,0.568,8,-,5-5,W4,667,595,72,89-73,55-26,37-44,28-37
NY Mets,90,72,0.556,10,-,5-5,W1,683,613,70,89-73,49-32,41-40,28-38
San Francisco,84,78,0.519,16,13,5-5,L1,696,627,69,89-73,47-34,37-44,29-33
Washington,83,79,0.512,17,14,5-5,L1,703,635,68,88-74,46-35,37-44,28-37
Arizona,79,83,0.488,21,18,6-4,W1,720,713,7,82-80,39-42,40-41,32-53
San Diego,74,88,0.457,26,23,3-7,L3,650,731,-81,72-90,39-42,35-46,33-50
Miami,71,91,0.438,29,26,6-4,L1,613,678,-65,74-88,41-40,30-51,33-47
Colorado,68,94,0.42,32,29,5-5,W1,737,844,-107,71-91,36-45,32-49,29-53
Milwaukee,68,94,0.42,32,29,4-6,L4,655,737,-82,72-90,34-47,34-47,36-61
Atlanta,67,95,0.414,33,30,6-4,W3,573,760,-187,61-101,42-39,25-56,29-53
Cincinnati,64,98,0.395,36,33,1-9,L1,640,754,-114,69-93,34-47,30-51,35-62
Philadelphia,63,99,0.389,37,34,6-4,W1,626,809,-183,62-100,37-44,26-55,29-54
